"PMID","ncol","nrow","nwithbatch","deceased"
"16542501",15,5845,0,0
"16773188",24,15437,0,0
"16819509",37,13013,0,0
"17390049",16,48,0,0
"18653328",23,8950,0,0
"18959792",79,19748,0,0
"19016304",36,19381,0,0
"19088021",74,19381,0,0
"19088021",155,19381,0,0
"19399471",62,13013,0,12
"19672874",36,286,0,22
"19911421",30,3721,0,22
"19911421",109,3033,0,57
"19914252",55,19381,0,20
"19914252",177,19381,0,73
"19914252",238,19381,0,93
"19996206",290,19381,0,0
"20162577",111,19381,0,0
"21270110",148,19381,0,0
"21300766",155,13013,0,0
"21300766",176,11860,0,0
"21619627",83,286,0,0
"21619627",90,286,0,0
"21680303",189,19381,0,0
"21862635",141,19740,0,0
"22095227",59,19381,0,0
"22496204",96,19381,0,0
"22496922",90,19381,0,0
"22810696",130,17814,0,10
"22810696",195,20502,0,20
"23700391",566,19381,0,0
"PMID unknown",13,19381,0,0
"PMID unknown",22,20741,0,0
"PMID unknown",387,19381,0,0
